序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
1,李德柜,澳门大学,工商管理学院,澳门大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
2,祝梦华,澳门科技大学,月球与行星科学全国重点实验室,澳门科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
3,陈琦,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
4,宫继成,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
5,刘思彤,北京大学,环境科学与工程学院,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
6,陈克终,北京大学,人民医院胸外科,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
7,法文哲,北京大学,地球与空间科学学院,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
8,王晶,北京大学,药学院,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
9,张艳席,北京大学,物理学院,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
10,杨学林,北京大学,物理学院,北京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
