序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
154,赵骞,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
155,张军辉,浙江大学,机械工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
156,叶肖伟,浙江大学,建筑工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
157,由庆,浙江大学（北京）,能源学院,浙江大学（北京）,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
158,张宝刚,中国地质大学（北京）,水资源与环境学院,中国地质大学（北京）,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
159,张进刚,中国地质大学（北京）,水资源与环境学院,中国地质大学（北京）,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
160,赵新艳,中国地质大学（武汉）,计算机学院,中国地质大学（武汉）,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
161,赵建,中国海洋大学,环境科学与工程学院,中国海洋大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
162,徐集成,中国科学技术大学,化学与材料科学学院,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
163,石成,中国科学技术大学,附属第一医院,中国科学技术大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
164,张俊,中国科学院半导体研究所,中国科学院半导体研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
165,陈伟强,中国科学院城市环境研究所,中国科学院城市环境研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
166,傅碧娜,中国科学院大连化学物理研究所,中国科学院大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
167,王方军,中国科学院大连化学物理研究所,中国科学院大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
168,孙剑,中国科学院大连化学物理研究所,中国科学院大连化学物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
169,董金玮,中国科学院地理科学与资源研究所,中国科学院地理科学与资源研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
170,刘小莽,中国科学院地理科学与资源研究所,中国科学院地理科学与资源研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
171,樊海峰,中国科学院地球化学研究所,中国科学院地球化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
172,蔡书慧,中国科学院地质与地球物理研究所,中国科学院地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
173,陈意,中国科学院地质与地球物理研究所,中国科学院地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
174,王相力,中国科学院地质与地球物理研究所,中国科学院地质与地球物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
175,郑金星,中国科学院等离子体物理研究所,中国科学院等离子体物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
176,邓晓亮,中国科学院广州地球化学研究所,中国科学院广州地球化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
177,孙峙,中国科学院过程工程研究所,中国科学院过程工程研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
178,汪嘉宁,中国科学院海洋研究所,中国科学院海洋研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
179,许倩倩,中国科学院计算技术研究所,中国科学院计算技术研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
180,李欢,中国科学院理化技术研究所,中国科学院理化技术研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
181,子璇,中国科学院理论物理研究所,中国科学院理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
182,石弢,中国科学院理论物理研究所,中国科学院理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
183,杨二玻,中国科学院理论物理研究所,中国科学院理论物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
184,徐华强,中国科学院南京地理与湖泊研究所,中国科学院南京地理与湖泊研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
185,王军成,中国科学院宁波材料技术与工程研究所,中国科学院宁波材料技术与工程研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
186,曹直高,中国科学院山西煤炭化学研究所,中国科学院山西煤炭化学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
187,孙涛,中国科学院沈阳应用生态研究所,中国科学院沈阳应用生态研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
188,孙洁,中国科学院沈阳应用生态研究所,中国科学院沈阳应用生态研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
189,刘岗,中国科学院沈阳自动化研究所,中国科学院沈阳自动化研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
190,刘砚,中国科学院生态环境研究中心,中国科学院生态环境研究中心,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
191,丁璟珒,中国科学院生物物理研究所,中国科学院生物物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
192,赵蘅敏,中国科学院生物物理研究所,中国科学院生物物理研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
193,冉有华,中国科学院西北生态环境资源研究院,中国科学院西北生态环境资源研究院,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
194,何顺姬,中国科学院遗传与发育生物学研究所,中国科学院遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
195,何康敏,中国科学院遗传与发育生物学研究所,中国科学院遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
196,肖军,中国科学院遗传与发育生物学研究所,中国科学院遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
197,刘晓娟,中国科学院植物研究所,中国科学院植物研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
198,刘桂芝,中国科学院自动化研究所,中国科学院自动化研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
199,张春芝,中国农业科学院深圳农业基因组研究所,中国农业科学院深圳农业基因组研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
200,杨学勇,中国农业科学院蔬菜花卉研究所,中国农业科学院蔬菜花卉研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
201,刘芳洋,中南大学,低碳有色冶金国家工程研究中心,中南大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
202,柯建,中山大学,附属第一医院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
203,高恬,中山大学,附属第一医院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
204,郭志鹏,中山大学,附属第三医院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
