序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
269,肖军,中国科学院遗传与发育生物学研究所,遗传与发育生物学研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
270,刘晓娟,中国科学院植物研究所,植物研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
271,刘桂芝,中国科学院自动化研究所,自动化研究所,中国科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
272,张春芝,中国农业科学院深圳农业基因组研究所,深圳农业基因组研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
273,杨学勇,中国农业科学院蔬菜花卉研究所,蔬菜花卉研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
274,葛化彬,中国人民大学,数学学院,中国人民大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
275,刘芳洋,中南大学,低碳有色冶金国家工程研究中心,中南大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
276,柯建,中山大学,附属第一医院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
277,郭志鹏,中山大学,附属第三医院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
278,胡博,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
279,郜培文,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
280,顾劲扬,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
281,侯波,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
282,张菲,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
283,王春,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
284,张睿喆,中国农业科学院深圳农业基因组研究所,深圳农业基因组研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
