高校,人才称号,年份,总记录数,唯一姓名数,来源分布,来源数,疑似重复姓名,冲突标记
中国科学院,国家优秀青年科学基金获得者,2025,46,24,"{""Unionpub学术"": 20, ""willnanobio.com"": 7, ""科学家之家公众号2025年优青公示"": 19}",3,"[""许晶晶"", ""刘心昱"", ""李旭宁"", ""崔晓菊"", ""耿柠波"", ""罗能超"", ""乔庆龙"", ""龚海楠"", ""曾小家"", ""徐伟"", ""张龙"", ""谭浩"", ""刘磊"", ""高洁"", ""许驰"", ""李淼淼"", ""黄盖"", ""陈晨""]",冲突
中国科学院,国家杰出青年科学基金获得者,2025,120,66,"{""Unionpub学术"": 37, ""willnanobio.com"": 11, ""科学家之家公众号"": 37, ""科学家之家公众号2025年杰青公示"": 35}",4,"[""张俊"", ""陈伟强"", ""傅碧娜"", ""王方军"", ""孙剑"", ""董金玮"", ""刘小莽"", ""樊海峰"", ""蔡书慧"", ""陈意"", ""王相力"", ""郑金星"", ""梁晓亮"", ""孙峙"", ""汪嘉宁"", ""许倩倩"", ""丛欢"", ""李理"", ""石弢"", ""杨一玻"", ""徐华强"", ""孙涛"", ""丁璟珒"", ""冉有华"", ""何康敏"", ""肖军"", ""刘晓娟"", ""曹直高"", ""赵蘅敏"", ""何顺姬"", ""刘桂芝""]",冲突
中国计量大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""金成滨""]",一致
中山大学,国家优秀青年科学基金获得者,2025,23,16,"{""Unionpub学术"": 9, ""willnanobio.com"": 6, ""科学家之家公众号2025年优青公示"": 8}",3,"[""吕佳蔚"", ""武远众"", ""张海亮"", ""张亭亭"", ""黄怀义"", ""顾浩""]",冲突
中山大学,国家杰出青年科学基金获得者,2025,34,9,"{""Unionpub学术"": 4, ""科学家之家公众号"": 27, ""科学家之家公众号2025年杰青公示"": 3}",3,"[""郭志勇"", ""柯建"", ""郭志鹏"", ""刘一峰"", ""吴勇""]",冲突
云南农业大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
内蒙古农业大学,国家杰出青年科学基金获得者,2025,4,3,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""李仙岳""]",一致
内蒙古大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
军事医学研究院,国家优秀青年科学基金获得者,2025,6,3,"{""Unionpub学术"": 3, ""科学家之家公众号2025年优青公示"": 3}",2,"[""迟象阳"", ""吴敏"", ""涂海情""]",一致
军事医学研究院,国家杰出青年科学基金获得者,2025,48,46,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 46}",3,"[""贾娜""]",冲突
军事医学科学院,国家杰出青年科学基金获得者,2025,4,4,"{""willnanobio.com"": 4}",1,,一致
北京农林科学院,国家优秀青年科学基金获得者,2025,2,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1}",2,,一致
北京化工大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
北京医院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
北京大学,国家优秀青年科学基金获得者,2025,11,6,"{""Unionpub学术"": 4, ""willnanobio.com"": 3, ""科学家之家公众号2025年优青公示"": 4}",3,"[""叶麒俊"", ""周辰"", ""刘放"", ""马啸""]",冲突
北京大学,国家杰出青年科学基金获得者,2025,46,22,"{""Unionpub学术"": 10, ""willnanobio.com"": 13, ""科学家之家公众号"": 13, ""科学家之家公众号2025年杰青公示"": 10}",4,"[""陈琦"", ""宫继成"", ""刘思彤"", ""陈克终"", ""法文哲"", ""王晶"", ""张艳席"", ""杨学林"", ""李凯"", ""钟超""]",冲突
北京大学第三医院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
北京大学第六医院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
北京工业大学,国家杰出青年科学基金获得者,2025,4,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""金浏""]",一致
北京师范大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""龚诗阳""]",一致
北京师范大学,国家杰出青年科学基金获得者,2025,6,6,"{""Unionpub学术"": 1, ""willnanobio.com"": 2, ""科学家之家公众号"": 2, ""科学家之家公众号2025年杰青公示"": 1}",4,,冲突
北京林业大学,国家优秀青年科学基金获得者,2025,4,3,"{""Unionpub学术"": 1, ""willnanobio.com"": 2, ""科学家之家公众号2025年优青公示"": 1}",3,"[""李方正""]",冲突
北京理工大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""熊瑞""]",一致
北京科技大学,国家优秀青年科学基金获得者,2025,5,3,"{""Unionpub学术"": 2, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",3,"[""陈秋松"", ""徐婧林""]",冲突
北京科技大学,国家杰出青年科学基金获得者,2025,2,2,"{""科学家之家公众号"": 2}",1,,一致
北京航空航天大学,国家杰出青年科学基金获得者,2025,7,5,"{""Unionpub学术"": 1, ""科学家之家公众号"": 5, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""张梦""]",冲突
华东理工大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
华中农业大学,国家优秀青年科学基金获得者,2025,6,3,"{""Unionpub学术"": 3, ""科学家之家公众号2025年优青公示"": 3}",2,"[""吴浩"", ""彭忠"", ""刘鑫""]",一致
华中农业大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
华中师范大学,国家杰出青年科学基金获得者,2025,4,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""罗晓峰""]",一致
华中科技大学,国家优秀青年科学基金获得者,2025,11,8,"{""Unionpub学术"": 5, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 5}",3,"[""魏玉龙"", ""何立新"", ""李亮""]",冲突
华中科技大学,国家杰出青年科学基金获得者,2025,31,14,"{""Unionpub学术"": 7, ""willnanobio.com"": 6, ""科学家之家公众号"": 11, ""科学家之家公众号2025年杰青公示"": 7}",4,"[""伍冬睿"", ""夏丽敏"", ""夏天"", ""陈琛"", ""孙朝阳"", ""牛广达"", ""余宇""]",冲突
华北理工大学,国家杰出青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""杨志南""]",一致
